,,4-Sep,,Selisih dengan hari sebelumnya,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Provinsi BPS,Provinsi,Kasus Kumulatif,% Provinsi,,,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep
11,Aceh,1884,1.0%,90,,0,0,0,0,0,0,1,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,8,9,9,9,9,9,10,11,11,12,12,12,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,27,27,27,37,38,38,39,49,49,49,53,66,69,77,79,79,80,86,86,87,87,87,87,88,89,90,90,99,106,106,110,137,140,145,145,146,148,149,151,158,162,168,168,168,193,238,312,415,415,431,433,440,442,483,536,536,580,676,676,748,748,840,865,876,1044,1069,1132,1137,1141,1211,1211,1241,1261,1291,1399,1449,1546,1600,1633,1649,1697,1794,1884
12,Sumatera Utara,7390,3.9%,125,,2,2,2,2,7,8,8,8,8,8,13,20,22,22,22,25,25,26,26,59,59,59,59,65,67,72,78,79,79,79,81,83,84,93,95,96,105,111,111,111,114,117,117,117,123,129,130,141,142,157,179,179,196,198,200,202,202,202,218,225,235,250,273,285,294,311,315,315,332,362,400,406,409,417,418,444,488,537,605,605,607,618,635,680,768,862,872,932,957,970,993,1024,1082,1095,1115,1232,1287,1356,1370,1447,1467,1480,1551,1601,1690,1723,1767,1778,1798,1821,1977,2085,2197,2284,2323,2367,2497,2596,2693,2776,2923,2937,2952,2994,3163,3263,3320,3371,3390,3438,3518,3759,3827,3931,3962,4136,4193,4261,4391,4477,4693,4794,4819,4948,5155,5264,5358,5427,5622,5673,5690,5820,5898,5957,5978,6051,6129,6166,6300,6437,6541,6627,6730,6769,6827,6942,7124,7265,7390
13,Sumatera Barat,2437,1.3%,65,,0,0,0,0,0,0,3,5,5,5,8,8,8,8,8,8,8,18,18,18,18,31,31,44,45,48,55,55,62,71,72,74,76,81,86,96,97,102,121,144,145,148,172,182,195,203,221,238,252,270,286,299,299,319,339,371,393,396,408,409,420,428,436,438,443,478,478,513,537,541,541,552,567,567,574,583,594,607,618,626,626,645,659,661,671,674,681,681,687,691,696,700,703,707,707,712,715,717,720,722,725,725,726,742,750,760,762,775,775,780,780,785,791,794,800,800,803,805,806,813,817,826,828,836,846,849,852,864,869,869,874,891,907,948,948,957,974,987,1006,1038,1079,1102,1140,1176,1189,1216,1258,1300,1337,1350,1376,1413,1439,1483,1528,1565,1633,1659,1736,1823,1864,1890,1978,2068,2157,2240,2328,2372,2437
14,Riau,2267,1.2%,130,,1,1,1,1,1,1,1,1,1,2,3,3,3,7,10,10,11,12,12,12,13,13,16,16,20,20,20,25,26,30,30,34,35,35,36,36,38,39,39,40,41,41,42,45,53,58,61,61,66,69,71,73,74,81,88,94,95,95,99,101,106,107,108,109,110,111,111,111,111,111,117,117,117,117,117,117,117,117,118,118,118,120,120,120,120,125,125,126,126,128,134,142,142,142,166,193,217,220,223,223,224,226,226,227,228,232,233,234,235,236,236,238,238,239,240,243,246,246,251,256,261,272,287,310,348,350,362,367,378,382,409,415,426,445,446,456,506,577,606,621,656,706,732,773,789,821,889,918,959,983,1017,1039,1050,1097,1132,1195,1237,1279,1319,1361,1460,1526,1605,1739,1846,1924,2031,2137,2267
15,Jambi,304,0.2%,1,,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,6,7,8,8,8,8,13,13,14,18,21,32,32,32,32,32,32,32,38,38,43,47,47,47,62,64,65,65,65,66,69,79,80,81,84,89,89,91,91,95,97,97,97,97,97,97,97,97,97,97,99,101,103,103,103,103,105,105,106,108,108,108,108,109,109,112,112,112,112,114,114,114,114,117,117,117,117,117,117,117,117,120,120,121,121,122,122,122,122,122,124,125,125,126,132,132,132,134,136,136,138,139,139,139,139,154,156,162,168,169,169,188,193,193,205,210,210,210,210,215,215,222,225,225,245,245,250,250,271,274,274,274,281,289,296,302,302,302,302,302,303,303,304
16,Sumatera Selatan,4618,2.5%,35,,0,0,0,0,1,1,1,1,2,2,2,5,5,11,12,12,16,16,16,16,17,21,21,18,18,19,22,37,54,84,89,89,89,89,93,106,119,129,129,143,144,150,156,156,185,185,199,210,227,227,278,278,278,279,322,441,458,458,521,537,597,646,674,693,725,736,812,868,921,942,953,963,982,995,1019,1029,1056,1074,1104,1129,1158,1188,1229,1271,1304,1326,1396,1448,1498,1541,1596,1680,1721,1779,1839,1855,1869,1893,1907,1950,2000,2023,2049,2078,2120,2156,2205,2255,2326,2356,2419,2475,2568,2604,2653,2703,2754,2784,2832,2899,2966,3012,3054,3112,3149,3165,3211,3228,3251,3275,3296,3330,3387,3417,3427,3444,3455,3490,3553,3602,3623,3675,3694,3713,3735,3778,3805,3844,3880,3909,3910,3919,3964,3988,4037,4091,4125,4157,4202,4223,4248,4305,4361,4401,4454,4486,4520,4583,4618
17,Bengkulu,364,0.2%,3,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,14,14,14,37,37,37,40,40,42,53,56,65,66,67,67,69,69,69,69,69,69,69,71,72,86,91,91,92,92,92,92,92,92,92,92,92,92,95,98,101,101,104,105,105,107,116,116,116,118,118,120,124,125,125,125,125,129,130,136,137,141,141,144,151,155,158,162,163,163,168,170,171,173,179,181,181,181,185,195,196,200,200,200,210,212,214,217,218,235,235,238,239,240,240,243,252,253,258,260,264,274,277,279,279,280,286,286,287,288,288,289,300,303,305,329,332,343,343,349,353,361,364
18,Lampung,428,0.2%,4,,1,1,1,1,1,1,3,4,4,4,8,8,8,8,11,11,11,12,12,15,15,20,20,20,21,20,20,26,26,26,26,26,27,27,38,38,38,42,42,44,46,46,50,50,50,54,55,63,63,66,66,66,66,66,66,66,66,66,67,83,84,85,101,105,105,109,116,116,118,118,131,132,133,135,136,136,140,141,143,144,145,148,150,152,153,165,166,166,166,169,171,172,180,181,181,181,183,187,187,188,188,188,190,191,193,193,193,195,201,201,202,203,205,205,208,209,209,215,219,220,229,231,231,232,237,246,246,247,250,252,252,252,255,255,255,271,297,297,298,299,303,307,307,316,318,320,327,332,332,341,343,343,346,352,353,356,362,365,369,371,376,378,382,389,395,399,410,424,428
19,Kepulauan Bangka Belitung,242,0.1%,2,,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,6,6,6,7,7,8,8,9,9,9,10,10,10,10,10,19,19,20,20,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,35,36,36,39,39,39,39,42,42,42,45,46,46,50,62,72,81,98,102,102,121,123,126,132,136,144,144,145,147,147,147,148,148,148,148,148,148,148,149,149,152,152,155,155,157,161,163,169,171,171,171,171,172,172,172,174,175,175,175,176,176,180,180,181,182,185,186,188,191,191,193,193,193,193,193,196,196,197,197,200,200,201,203,203,203,203,205,207,212,214,216,219,220,222,226,228,228,231,235,235,235,235,239,239,239,239,240,242
